date,did,se,p
2026-03-19 00:00:00+00:00,-0.08577441633926797,0.04108313012496078,0.03681355725126355
2026-03-20 00:00:00+00:00,-0.09488906535601038,0.041425630850665855,0.02198723624785643
2026-03-21 00:00:00+00:00,-0.105092225516761,0.04062996370750282,0.009693661495695782
2026-03-22 00:00:00+00:00,-0.11432869345986663,0.0419293777779229,0.006397182290119807
2026-03-23 00:00:00+00:00,-0.13088776202234587,0.04173401968150661,0.0017113105416875314
2026-03-24 00:00:00+00:00,-0.14626865809873424,0.04104470940748764,0.0003657444298805827
2026-03-25 00:00:00+00:00,-0.16486362425219414,0.036520282827341224,6.352532441693187e-06
2026-03-26 00:00:00+00:00,-0.18827164716074218,0.031698628243359665,2.8602227340555944e-09
2026-03-27 00:00:00+00:00,-0.17928496209571176,0.0403706798543331,8.95544455806647e-06
2026-03-28 00:00:00+00:00,-0.1704685124364913,0.04698363324614368,0.00028534546744220257
2026-03-29 00:00:00+00:00,-0.15865160724246752,0.04843506472912867,0.0010545543571373603
2026-03-30 00:00:00+00:00,-0.15777174182594011,0.04222206995589321,0.0001864417990962015
2026-03-31 00:00:00+00:00,-0.14194634512561777,0.040365459764003464,0.0004372274535966679
2026-04-01 00:00:00+00:00,-0.11386071820325383,0.03808082408219587,0.002790001317578756
2026-04-02 00:00:00+00:00,-0.08513361078631965,0.035865306215822804,0.01761067521617607
2026-04-03 00:00:00+00:00,-0.05462113197595819,0.03173119758304391,0.08518370227232985
2026-04-04 00:00:00+00:00,-0.017000271078448703,0.027052100265978478,0.5297242333331954
2026-04-05 00:00:00+00:00,0.006420348797602449,0.02567045273240171,0.8025049378698002
2026-04-06 00:00:00+00:00,0.024005068316346412,0.024119181243827496,0.3196055531450315
2026-04-07 00:00:00+00:00,0.04677444960353205,0.024395402082430587,0.05519386991016974
2026-04-08 00:00:00+00:00,0.07161630519658813,0.02305570970069718,0.001894901545889818
2026-04-09 00:00:00+00:00,0.09036198302033793,0.02648100262931852,0.0006440952264416806
2026-04-10 00:00:00+00:00,0.10628967685790203,0.02693244300294487,7.929220488475307e-05
2026-04-11 00:00:00+00:00,0.11640092058536022,0.028586976399683262,4.664793408316933e-05
2026-04-12 00:00:00+00:00,0.10866982518692381,0.03196114269181948,0.0006737089558927163
2026-04-13 00:00:00+00:00,0.06923853792742651,0.050562456817789495,0.17088471941397032
2026-04-14 00:00:00+00:00,0.01713710232449661,0.0791291567564972,0.828542474096546
2026-04-15 00:00:00+00:00,-0.07233332758210609,0.10226959344801953,0.47939194789089756
2026-04-16 00:00:00+00:00,-0.17967222324320775,0.11646055366881974,0.12288580957452522
2026-04-17 00:00:00+00:00,-0.302626825314942,0.11925006260723134,0.011156770731465824
2026-04-18 00:00:00+00:00,-0.43268886725079025,0.10799811833561763,6.163863432684028e-05
2026-04-19 00:00:00+00:00,-0.5679062719435737,0.0778746691664457,3.041033940123403e-13
2026-04-20 00:00:00+00:00,-0.6634298828859699,0.061489621381286684,3.867299606007523e-27
2026-04-21 00:00:00+00:00,-0.67639342062691,0.07928974926674441,1.455226087143253e-17
2026-04-22 00:00:00+00:00,-0.6470072303306977,0.10497340900355309,7.113886026738404e-10
2026-04-23 00:00:00+00:00,-0.5861990971200344,0.12888583798133516,5.410564903535979e-06
